# u |D(u)|
2.800425026564160591e-01 2.427295707593278887e-04
2.802800175010938255e-01 2.160480914878428707e-04
2.805175323457715919e-01 2.240592291792252704e-04
2.807550471904494138e-01 2.589823032443409824e-04
2.809925620351271802e-01 2.935764350412939329e-04
2.812300768798050021e-01 3.082636332427290049e-04
2.814675917244827685e-01 2.963044690682553215e-04
2.817051065691605904e-01 2.630193644733477940e-04
2.819426214138383568e-01 2.263886749600219300e-04
2.821801362585161788e-01 2.135474334842139854e-04
2.824176511031939452e-01 2.362030244396272306e-04
2.826551659478717671e-01 2.739754062658075404e-04
2.828926807925495335e-01 3.012808405933054814e-04
2.831301956372272999e-01 3.043529459692841631e-04
2.833677104819051218e-01 2.817885117230434894e-04
2.836052253265829437e-01 2.442831216692194370e-04
2.838427401712607101e-01 2.150020487105208590e-04
2.840802550159384765e-01 2.184417743776648744e-04
2.843177698606162984e-01 2.511068334211538308e-04
2.845552847052940648e-01 2.866010043784626422e-04
2.847927995499718867e-01 3.040861729109442047e-04
2.850303143946496531e-01 2.954217906863629305e-04
2.852678292393274750e-01 2.644143173558174942e-04
2.855053440840052414e-01 2.272758954764550943e-04
2.857428589286830634e-01 2.104894802854169705e-04
2.859803737733608298e-01 2.292247972680885025e-04
2.862178886180386517e-01 2.662436019242656309e-04
2.864554034627164181e-01 2.954498763070849301e-04
2.866929183073941845e-01 3.016919735586239991e-04
2.869304331520720064e-01 2.821553723371428594e-04
2.871679479967498283e-01 2.459097168911334721e-04
2.874054628414275947e-01 2.144927136537260587e-04
2.876429776861053611e-01 2.134134379712443930e-04
2.878804925307831830e-01 2.434567685582973207e-04
2.881180073754609494e-01 2.795295378241053870e-04
2.883555222201387713e-01 2.996302610098501291e-04
2.885930370648165377e-01 2.942325228695280136e-04
2.888305519094943596e-01 2.656755863312734571e-04
2.890680667541721260e-01 2.284439099407694837e-04
2.893055815988499480e-01 2.080678921651076181e-04
2.895430964435277144e-01 2.226860436148554224e-04
2.897806112882055363e-01 2.585768802990072446e-04
2.900181261328833027e-01 2.894244682291588272e-04
2.902556409775610691e-01 2.987203515376304257e-04
2.904931558222388910e-01 2.822645338153463167e-04
2.907306706669167129e-01 2.475587134983147286e-04
2.909681855115944793e-01 2.144664534505235113e-04
2.912057003562722457e-01 2.089905961282534938e-04
2.914432152009500676e-01 2.360705528631882894e-04
2.916807300456278340e-01 2.723900273005483907e-04
2.919182448903056559e-01 2.949106622485044688e-04
2.921557597349834223e-01 2.927336493663842769e-04
2.923932745796612442e-01 2.667721639171274028e-04
2.926307894243390106e-01 2.298317938722271273e-04
2.928683042690168326e-01 2.062577560929673703e-04
2.931058191136945990e-01 2.166212501623424318e-04
2.933433339583724209e-01 2.510098186536048213e-04
2.935808488030501873e-01 2.832268331258060569e-04
2.938183636477279537e-01 2.954457569186548439e-04
2.940558784924057756e-01 2.821021682615127996e-04
2.942933933370835975e-01 2.491840905434188503e-04
2.945309081817613639e-01 2.148663290450300730e-04
2.947684230264391303e-01 2.051824058242057171e-04
2.950059378711169522e-01 2.289867650955818934e-04
2.952434527157947741e-01 2.652116047165569996e-04
2.954809675604725405e-01 2.899434971917774122e-04
2.957184824051503069e-01 2.909244905437624248e-04
2.959559972498281288e-01 2.676772167028461163e-04
2.961935120945058952e-01 2.313814723971270441e-04
2.964310269391837172e-01 2.050260898532246313e-04
2.966685417838614836e-01 2.110617210069797782e-04
2.969060566285393055e-01 2.435779779814833425e-04
2.971435714732170719e-01 2.768803606238536604e-04
2.973810863178948383e-01 2.918775361431766324e-04
2.976186011625726602e-01 2.816575051401888912e-04
2.978561160072504821e-01 2.507444090412576897e-04
2.980936308519282485e-01 2.156336261803364106e-04
2.983311456966060149e-01 2.019900656053720013e-04
2.985686605412838368e-01 2.222437012352213720e-04
2.988061753859616587e-01 2.580245476972470742e-04
2.990436902306394251e-01 2.847461852365846982e-04
2.992812050753171915e-01 2.888065145208342085e-04
2.995187199199950134e-01 2.683677893671143578e-04
2.997562347646727798e-01 2.330383413370478200e-04
2.999937496093506017e-01 2.043328101349368043e-04
