# s  P_data  P_GUE  P_Poisson
2.875000000000000000e+00 0.000000000000000000e+00 7.203746512344314781e-04 5.641613950377735026e-02
2.925000000000000266e+00 0.000000000000000000e+00 5.154372504842344742e-04 5.366469191273010725e-02
2.975000000000000089e+00 0.000000000000000000e+00 3.662473853899393542e-04 5.104743400415439475e-02
3.025000000000000355e+00 0.000000000000000000e+00 2.584419911066117531e-04 4.855782127000994597e-02
3.075000000000000178e+00 0.000000000000000000e+00 1.811129412356658069e-04 4.618962838168010065e-02
3.125000000000000000e+00 0.000000000000000000e+00 1.260495806012987133e-04 4.393693362340742037e-02
3.175000000000000266e+00 0.000000000000000000e+00 8.712567078038977353e-05 4.179410408491989609e-02
3.225000000000000089e+00 0.000000000000000000e+00 5.980956210526312909e-05 3.975578157622130376e-02
3.275000000000000355e+00 0.000000000000000000e+00 4.077758467593266826e-05 3.781686922932506884e-02
3.325000000000000178e+00 0.000000000000000000e+00 2.761245932051948121e-05 3.597251875342965394e-02
3.375000000000000000e+00 0.000000000000000000e+00 1.857066431836061610e-05 3.421811831166603202e-02
3.425000000000000266e+00 0.000000000000000000e+00 1.240493029514735569e-05 3.254928098910341711e-02
3.475000000000000089e+00 0.000000000000000000e+00 8.230216904649661466e-06 3.096183382317688193e-02
3.525000000000000355e+00 0.000000000000000000e+00 5.423549245851271980e-06 2.945180736910727945e-02
3.575000000000000178e+00 0.000000000000000000e+00 3.549901600472123007e-06 2.801542577422180824e-02
3.625000000000000000e+00 0.000000000000000000e+00 2.307885813364113689e-06 2.664909733635548519e-02
3.675000000000000266e+00 0.000000000000000000e+00 1.490329338421546129e-06 2.534940552272493125e-02
3.725000000000000089e+00 0.000000000000000000e+00 9.559266783223343951e-07 2.411310042681686500e-02
3.775000000000000355e+00 0.000000000000000000e+00 6.090396950292786582e-07 2.293709064192892000e-02
3.825000000000000178e+00 0.000000000000000000e+00 3.854334666727220940e-07 2.181843553104276245e-02
3.875000000000000000e+00 0.000000000000000000e+00 2.422925195685639969e-07 2.075433787369974220e-02
3.925000000000000266e+00 0.000000000000000000e+00 1.512938101956567794e-07 1.974213687149277419e-02
