# tau K_raw K_smooth K_GUE
2.041360907271514424e-01 8.265809712743445170e-02 1.105020966778393621e-01 2.041360907271514424e-01
2.061374249499666744e-01 5.109705729977075811e-02 1.130081907455785378e-01 2.061374249499666744e-01
2.081387591727818787e-01 4.793683262007827905e-02 1.154275989978890138e-01 2.081387591727818787e-01
2.101400933955970829e-01 8.344897530581459055e-02 1.192340333797127644e-01 2.101400933955970829e-01
2.121414276184122871e-01 1.478723804682031268e-02 1.209713300366112576e-01 2.121414276184122871e-01
2.141427618412274914e-01 5.157997586553569880e-02 1.224272050096915782e-01 2.141427618412274914e-01
2.161440960640427233e-01 1.000079784083056089e-01 1.252510536375372463e-01 2.161440960640427233e-01
2.181454302868579276e-01 4.611247567034921779e-01 1.295286441939809685e-01 2.181454302868579276e-01
2.201467645096731318e-01 1.915674687378163266e-01 1.310501047053930224e-01 2.201467645096731318e-01
2.221480987324883360e-01 3.409237449393020536e-01 1.367142857660513244e-01 2.221480987324883360e-01
2.241494329553035403e-01 2.061113273785471489e-01 1.478391326509185533e-01 2.241494329553035403e-01
2.261507671781187723e-01 3.275000496387692750e-01 1.531568014948219703e-01 2.261507671781187723e-01
2.281521014009339765e-01 1.120843596855853608e-01 1.704109350974228054e-01 2.281521014009339765e-01
2.301534356237491807e-01 2.077399377508476752e-01 1.717240614505420315e-01 2.301534356237491807e-01
2.321547698465643850e-01 1.186905025722346102e-01 1.711959610866242154e-01 2.321547698465643850e-01
2.341561040693796170e-01 3.128544459896926422e-01 1.725457453319615975e-01 2.341561040693796170e-01
2.361574382921948212e-01 1.317175346433867023e-01 1.828161556590863768e-01 2.361574382921948212e-01
2.381587725150100254e-01 2.949336188729931862e-01 1.809631027317599727e-01 2.381587725150100254e-01
2.401601067378252297e-01 2.466075662987519956e-01 1.851857826769566506e-01 2.401601067378252297e-01
2.421614409606404339e-01 2.413934520703625575e-01 1.969474075761529219e-01 2.421614409606404339e-01
2.441627751834556659e-01 2.760145356323357446e-01 1.991653390534265100e-01 2.441627751834556659e-01
2.461641094062708701e-01 1.164134317498752014e-01 1.996747963386578673e-01 2.461641094062708701e-01
2.481654436290860744e-01 1.092790681365448380e-01 2.086821578407190569e-01 2.481654436290860744e-01
2.501667778519012786e-01 1.636301195327445335e-01 2.087631985441967264e-01 2.501667778519012786e-01
2.521681120747165106e-01 7.839381323874401730e-02 2.067512673050065364e-01 2.521681120747165106e-01
2.541694462975316871e-01 6.793391523061530213e-02 2.081552646733089151e-01 2.541694462975316871e-01
2.561707805203469190e-01 1.250545123862803198e-01 2.085227999303277402e-01 2.561707805203469190e-01
2.581721147431621510e-01 1.843874102928769187e-01 2.096830539980734653e-01 2.581721147431621510e-01
2.601734489659773275e-01 6.959409290343543386e-02 2.013125133244393905e-01 2.601734489659773275e-01
2.621747831887925595e-01 2.369637043525854858e-01 1.992067399465071165e-01 2.621747831887925595e-01
2.641761174116077360e-01 4.589742396504679078e-01 1.981843617431132132e-01 2.641761174116077360e-01
2.661774516344229680e-01 2.210526512745351890e-01 1.934389762460454465e-01 2.661774516344229680e-01
2.681787858572382000e-01 7.179545292069323681e-01 1.883679321685247932e-01 2.681787858572382000e-01
2.701801200800533764e-01 1.158551236552370911e-01 1.908284197570777330e-01 2.701801200800533764e-01
2.721814543028686084e-01 7.532509995514941048e-02 1.869469868891658060e-01 2.721814543028686084e-01
2.741827885256837849e-01 1.338638748952571123e-01 1.866770340513078941e-01 2.741827885256837849e-01
2.761841227484990169e-01 5.179115996010440481e-01 1.819174378699974504e-01 2.761841227484990169e-01
